step,decision,confidence,uncertainty,trust_score,autonomy_allowed
1,DEFER,0.52,0.65,56.5,False
2,DEFER,0.54,0.605,58.85,False
3,DEFER,0.56,0.565,61.06,False
4,ACT,0.58,0.528,63.16,True
5,ACT,0.6,0.495,65.14,True
6,ACT,0.62,0.466,67.03,True
7,ACT,0.64,0.439,68.83,True
8,ACT,0.66,0.415,70.54,True
9,ACT,0.63,0.474,67.29,True
10,ACT,0.6,0.526,64.21,True
11,DEFER,0.57,0.574,61.29,False
12,DEFER,0.54,0.616,58.51,False
13,DEFER,0.51,0.655,55.86,False
14,ESCALATE,0.48,0.689,51.32,False
15,DEFER,0.5,0.64,53.79,False
16,DEFER,0.52,0.596,56.11,False
17,DEFER,0.54,0.557,58.3,False
18,ACT,0.56,0.521,60.37,True
19,ACT,0.58,0.489,62.33,True
